1.000000000000000000e+00,0.000000000000000000e+00,1.524000000000000077e-01,2.659700000000000085e-03,1.523799999999999877e-01,5.792399999999999636e+03,1.755699999999999861e+01,5.752799999999999692e+00,-5.020199999999999663e-02,2.072500000000000142e+01
1.700000000000000000e+01,4.200700000000000267e-02,1.464999999999999913e-01,4.455699999999999938e-02,1.457400000000000084e-01,2.708699999999999818e+03,7.501500000000000057e+00,3.188499999999999890e+00,-9.444599999999999662e-01,9.054299999999999571e+00
3.300000000000000000e+01,8.075999999999999845e-02,1.292399999999999938e-01,8.300299999999999345e-02,1.278100000000000069e-01,1.158299999999999955e+03,2.878200000000000092e+00,1.432900000000000063e+00,-9.128800000000000248e-01,3.630500000000000060e+00
4.900000000000000000e+01,1.132599999999999996e-01,1.019800000000000012e-01,1.150199999999999972e-01,9.998300000000000243e-02,4.744499999999999886e+02,1.192600000000000104e+00,4.677899999999999836e-01,-5.287399999999999878e-01,1.581399999999999917e+00
6.500000000000000000e+01,1.369799999999999907e-01,6.680800000000000627e-02,1.381199999999999928e-01,6.440700000000000591e-02,3.861399999999999864e+02,1.354500000000000037e+00,7.939999999999999836e-02,-1.664599999999999969e-01,1.709500000000000020e+00
8.100000000000000000e+01,1.500799999999999912e-01,2.646400000000000141e-02,1.505199999999999871e-01,2.384100000000000108e-02,5.359900000000000091e+02,2.225999999999999979e+00,-6.749800000000000244e-03,4.033500000000000280e-02,2.687300000000000022e+00
9.700000000000000000e+01,-1.515700000000000103e-01,1.592999999999999972e-02,-1.512600000000000056e-01,1.857299999999999923e-02,4.496900000000000000e+04,1.728199999999999932e+02,3.416000000000000147e-01,2.998200000000000198e+00,2.037400000000000091e+02
1.130000000000000000e+02,-1.413000000000000089e-01,5.709000000000000186e-02,-1.402799999999999880e-01,5.954700000000000271e-02,3.953300000000000000e+04,1.512400000000000091e+02,3.502699999999999925e+00,8.456300000000000594e+00,1.783899999999999864e+02
1.290000000000000000e+02,-1.200900000000000023e-01,9.382699999999999374e-02,-1.184400000000000036e-01,9.590799999999999326e-02,3.033900000000000000e+04,1.140900000000000034e+02,7.540899999999999714e+00,9.480299999999999727e+00,1.345999999999999943e+02
1.450000000000000000e+02,-8.957800000000000484e-02,1.232899999999999968e-01,-8.741300000000000459e-02,1.248400000000000065e-01,2.040800000000000000e+04,7.404300000000000637e+01,9.335300000000000153e+00,6.658800000000000274e+00,8.732800000000000296e+01
1.610000000000000000e+02,-5.212399999999999672e-02,1.432100000000000040e-01,-4.961700000000000138e-02,1.441000000000000059e-01,1.253700000000000000e+04,4.197699999999999676e+01,8.583199999999999719e+00,3.039499999999999869e+00,4.921999999999999886e+01
