ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
180
ITEM: BOX BOUNDS oo ro pp
-0.5 0.5
0 0.4
-0.5 0.5
ITEM: SURFS id v1x v1y v2x v2y f_2[1] f_2[2] f_2[3] f_2[4] f_2[5] 
1            0       0.1524    0.0026597      0.15238       5622.8       17.232       5.5266    -0.048228       20.638 
17     0.042007       0.1465     0.044557      0.14574       2689.9       7.3617       3.1676     -0.93828       9.0007 
33      0.08076      0.12924     0.083003      0.12781       1127.7       2.7844       1.4136     -0.90059       3.5692 
49      0.11326      0.10198      0.11502     0.099983       433.54       1.1081      0.46778     -0.52873       1.5011 
65      0.13698     0.066808      0.13812     0.064407       338.14       1.2577     0.076401     -0.16018       1.6241 
81      0.15008     0.026464      0.15052     0.023841       491.25       2.1611   -0.0075258     0.044972       2.6381 
97     -0.15157      0.01593     -0.15126     0.018573        43372       172.79      0.29181       2.5612       206.81 
113      -0.1413      0.05709     -0.14028     0.059547        38262       151.07        3.058       7.3827       180.57 
129     -0.12009     0.093827     -0.11844     0.095908        29745       114.03       6.6987       8.4214        135.8 
145    -0.089578      0.12329    -0.087413      0.12484        20237       74.021       8.7342         6.23       87.921 
161    -0.052124      0.14321    -0.049617       0.1441        12322       42.126       8.3367       2.9522       49.886 
177    -0.010631      0.15203    -0.007976      0.15219         6608        20.93       6.2233      0.38063       25.057 
2    0.0026597      0.15238    0.0053187      0.15231         5379       16.357       5.3788     -0.14085       19.623 
18     0.044557      0.14574     0.047094      0.14494       2557.8       6.9491       3.0475     -0.96088       8.5241 
34     0.083003      0.12781     0.085221      0.12635       1077.8       2.6211       1.3492     -0.89301       3.3727 
50      0.11502     0.099983      0.11675     0.097961       417.25       1.0709      0.42856     -0.50178       1.4551 
66      0.13812     0.064407      0.13922     0.061987       338.39       1.3062     0.055766     -0.12237       1.6818 
82      0.15052     0.023841      0.15092      0.02121        507.2       2.2089   -0.0051147     0.034223       2.6914 
98     -0.15126     0.018573     -0.15092      0.02121        42929       172.05      0.37149       2.8218       206.17 
114     -0.14028     0.059547     -0.13922     0.061987        37595        149.1        3.221       7.4078       178.46 
130     -0.11844     0.095908     -0.11675     0.097961        28929       111.48       6.8496       8.3093       132.95 
146    -0.087413      0.12484    -0.085221      0.12635        19751       71.941       8.8883       6.1087       85.352 
162    -0.049617       0.1441    -0.047094      0.14494        11899       40.504       8.2334       2.7548       48.028 
178    -0.007976      0.15219   -0.0053187      0.15231       6307.1       19.871       6.0216      0.26291       23.783 
3    0.0053187      0.15231     0.007976      0.15219       5173.6       15.621       5.2694     -0.23007       18.717 
19     0.047094      0.14494     0.049617       0.1441       2425.6       6.5158       2.8747     -0.96185       7.9905 
